Year,County,"Estimated Sales, Thousands of Gallons"
1998,Otsego,27794
1998,Putnam,40480
1998,Rensselaer,58236
1998,Rockland,55608
1998,St. Lawrence,39610
1998,Saratoga,78743
1998,Schenectady,57264
1998,Schoharie,12481
1998,Schuyler,8164
1998,Seneca,14275
1998,Steuben,48304
1998,Suffolk,661438
1998,Sullivan,38852
1998,Tioga,20990
1998,Tompkins,36677
1998,Ulster,76546
1998,Warren,37357
1998,Washington,20434
1998,Wayne,41937
1998,Westchester,268686
1998,Wyoming,18939
1998,Yates,9113
1998,New York City,1094937
1998,Statewide Total,5641370
1997,Albany,151215
1997,Allegany,22634
1997,Broome,106428
1997,Cattaraugus,30932
1997,Cayuga,38734
1997,Chautauqua,49662
1997,Chemung,32938
1997,Chenango,23855
1997,Clinton,39672
1997,Columbia,36078
1997,Cortland,29640
1997,Delaware,17804
1997,Dutchess,104202
1997,Erie,389595
1997,Essex,18378
1997,Franklin,19210
1997,Fulton,21446
1997,Genesee,46394
1997,Greene,28978
1997,Hamilton,3093
1997,Herkimer,30746
1997,Jefferson,52054
1997,Lewis,12438
1997,Livingston,37478
1997,Madison,23660
1997,Monroe,306444
1997,Montgomery,34689
1997,Nassau,555507
1997,Niagara,75509
1997,Oneida,105837
1997,Onondaga,202664
1997,Ontario,58163
1997,Orange,134804
1997,Orleans,16345
1997,Oswego,45505
1997,Otsego,28363
1997,Putnam,39095
1997,Rensselaer,61935
1997,Rockland,56274
1997,St. Lawrence,40578
1997,Saratoga,85752
1997,Schenectady,69618
1997,Schoharie,12741
1997,Schuyler,7344
1997,Seneca,14081
1997,Steuben,47380
1997,Suffolk,628699
1997,Sullivan,35197
1997,Tioga,19861
1997,Tompkins,37548
1997,Ulster,77801
1997,Warren,37996
1997,Washington,21072
1997,Wayne,43334
1997,Westchester,260562
1997,Wyoming,18786
1997,Yates,8601
1997,New York City,1072005
1997,Statewide Total,5627351
1996,Albany,153965
1996,Allegany,21978
1996,Broome,105179
1996,Cattaraugus,31781
1996,Cayuga,38333
1996,Chautauqua,47856
1996,Chemung,34953
1996,Chenango,23040
1996,Clinton,40925
1996,Columbia,36916
1996,Cortland,30108
1996,Delaware,17720
1996,Dutchess,103397
1996,Erie,398705
1996,Essex,18681
1996,Franklin,18769
1996,Fulton,21687
1996,Genesee,46963
1996,Greene,27686
1996,Hamilton,3336
1996,Herkimer,29977
1996,Jefferson,53331
1996,Lewis,11986
1996,Livingston,37990
1996,Madison,22102
1996,Monroe,312186
1996,Montgomery,34260
1996,Nassau,550216
1996,Niagara,72475
1996,Oneida,106005
1996,Onondaga,196103
1996,Ontario,57215
1996,Orange,134308
1996,Orleans,16584
1996,Oswego,57383
1996,Otsego,27925
1996,Putnam,37031
1996,Rensselaer,63112
1996,Rockland,54826
1996,St. Lawrence,42134
1996,Saratoga,85187
1996,Schenectady,59622
1996,Schoharie,13077
1996,Schuyler,7275
1996,Seneca,14183
1996,Steuben,52496
1996,Suffolk,634638
